Date,FuzzedDescription,UnitsSold,PricePerUnitPounds,RevenuePounds,K-Means_Cluster,DBScan,HDBScan,Spectral-Cluster
2009-12-01,lunch bag cars blue,44,1.65,72.6,8,0,8,1
2009-12-01,lunch bag red spotty,164,2.06,337.84,3,0,8,7
2009-12-01,lunch bag woodland,34,1.65,56.1,8,0,8,1
2009-12-01,lunchbox with cutlery retrospot,25,2.55,63.75,6,2,5,6
2009-12-01,mini cake stand hanging strawbery,7,2.54,17.78,7,1,12,8
2009-12-01,no singing metal sign,37,2.1,77.7,4,4,0,0
2009-12-01,pack 20 english rose paper napkins,1,0.85,0.85,9,2,6,4
2009-12-01,pack of 12 hearts design tissues,61,0.47000000000000003,28.67,1,3,2,9
2009-12-01,pack of 60 dinosaur cake cases,25,0.92,23.0,1,3,2,9
2009-12-01,pack of 60 mushroom cake cases,48,0.55,26.4,1,3,2,9
2009-12-01,pack of 60 pink paisley cake cases,99,0.74,73.26,1,3,2,9
2009-12-01,pack of 72 retro spot cake cases,312,0.61,190.32,1,3,2,9
2009-12-01,pack of 72 skull cake cases,37,0.8,29.6,1,3,2,9
2009-12-01,paper bunting retro spots,12,2.95,35.4,0,2,6,4
2009-12-01,paper chain kit retro spot,286,3.66,1046.76,0,2,6,4
2009-12-01,party bunting,6,4.65,27.9,0,1,-1,10
2009-12-01,party metal sign,24,1.45,34.8,4,4,0,0
2009-12-01,pink 3 piece mini dots cutlery set,88,3.75,330.0,9,2,6,4
2009-12-01,pink blue felt craft trinket box,30,1.4,42.0,12,1,10,2
2009-12-01,pink doughnut trinket pot,60,2.16,129.6,2,1,11,2
2009-12-01,pink fairy cake childs apron,93,2.5,232.5,1,3,2,9
2009-12-01,pottering in the shed metal sign,6,2.73,16.38,4,4,0,0
2009-12-01,potting shed tea mug,55,1.52,83.6,6,2,5,6
2009-12-01,red gingham rose jewellery box,13,2.24,29.12,2,1,-1,2
2009-12-01,red spot ceramic drawer knob,168,1.22,204.96,6,2,5,6
2009-12-01,red spotty biscuit tin,10,5.71,57.1,3,0,7,7
2009-12-01,red spotty bowl,19,2.09,39.71,3,0,7,7
2009-12-01,red spotty charlotte bag,113,0.99,111.87,5,0,8,5
2009-12-01,red spotty oven glove double,25,3.7800000000000002,94.5,3,0,7,7
2009-12-01,red spotty round cake tins,18,9.7,174.6,3,0,7,7
2009-12-01,red spotty shopper bag,67,1.8599999999999999,124.62,3,0,8,7
2009-12-01,red toadstool led night light,98,1.9,186.2,7,1,-1,8
2009-12-01,retro spot cake stand,8,16.32,130.56,6,2,5,6
2009-12-01,retro spot large milk jug,10,8.21,82.1,6,2,5,6
2009-12-01,retro spot small milk jug,11,3.2,35.2,6,2,5,6
2009-12-01,retro spot storage jar,10,3.75,37.5,6,2,5,6
2009-12-01,retro spot sugar jam bowl,15,4.12,61.8,6,2,5,6
2009-12-01,retro spot tea set ceramic 11 pc,166,5.33,884.78,6,2,5,6
2009-12-01,retro spot traditional teapot,12,9.83,117.96,6,2,5,6
2009-12-01,retro spots butter dish,9,9.03,81.27,6,2,5,6
2009-12-01,rex cashcarry jumbo shopper,17,0.9500000000000001,16.15,5,0,8,5
2009-12-01,ribbon reel spots design,80,1.8,144.0,0,2,6,4
2009-12-01,scottie dog hot water bottle,133,5.43,722.19,12,1,-1,2
2009-12-01,set 12 retro white chalk sticks,47,0.42,19.74,0,2,-1,4
2009-12-01,set of 3 heart cookie cutters,13,1.9100000000000001,24.83,2,1,11,2
2009-12-01,set of 36 teatime paper doilies,3,1.45,4.35,9,2,6,4
2009-12-01,set of 72 pink heart paper doilies,24,1.45,34.8,9,2,6,4
2009-12-01,set of 72 retro spot paper doilies,39,1.98,77.22,9,2,6,4
2009-12-01,set10 pink spotty party candles,111,1.45,160.95,3,0,7,7
2009-12-01,set2 red spotty tea towels,13,4.5,58.5,3,0,7,7
2009-12-01,set20 red spotty paper napkins,36,1.02,36.72,3,0,7,7
2009-12-01,set5 red spotty lid glass bowls,21,4.19,87.99,3,0,7,7
2009-12-01,set6 purple butterfly tlights,6,3.2,19.2,7,1,12,8
2009-12-01,set6 red spotty paper cups,59,0.75,44.25,3,0,7,7
2009-12-01,skull shoulder bag,12,2.54,30.48,8,0,8,1
2009-12-01,skulls water transfer tattoos,31,1.19,36.89,8,0,4,1
2009-12-01,small glass heart trinket pot,8,3.2,25.6,2,1,11,2
2009-12-01,space boy birthday card,36,0.42,15.12,11,1,-1,11
2009-12-01,strawberry ceramic trinket box,195,1.3599999999999999,265.2,2,1,-1,2
2009-12-01,strawberry charlotte bag,30,0.85,25.5,5,0,8,5
2009-12-01,strawberry lunchbox with cutlery,4,3.86,15.44,9,2,6,4
2009-12-01,swallows greeting card,13,0.42,5.46,11,1,9,11
2009-12-01,sweetheart ceramic trinket box,111,1.37,152.07,2,1,11,2
2009-12-01,tea bag plate red spotty,13,1.27,16.51,3,0,7,7
2009-12-01,tea party birthday card,12,0.42,5.04,11,1,9,11
2009-12-01,tea time tea towels,13,2.95,38.35,9,0,-1,4
2009-12-01,toilet metal sign,1,0.55,0.55,4,4,0,0
2009-12-01,victorian glass hanging tlight,30,1.25,37.5,7,1,12,8
2009-12-01,victorian sewing box large,16,20.41,326.56,2,1,-1,11
2009-12-01,vintage heads and tails card game,117,1.34,156.78,11,1,9,11
2009-12-01,vintage snap cards,39,0.99,38.61,11,1,-1,11
2009-12-01,vintage union jack bunting,11,8.5,93.5,11,1,-1,11
2009-12-01,vintage union jack cushion cover,7,7.92,55.44,11,1,9,11
2009-12-01,weekend bag vintage rose paisley,23,5.19,119.37,5,0,8,5
2009-12-01,white hanging heart tlight holder,261,3.01,785.61,7,1,12,8
2009-12-01,white spot red ceramic drawer knob,110,1.53,168.3,6,2,5,6
2009-12-01,wood 2 drawer cabinet white finish,10,5.95,59.5,0,1,3,10
2009-12-01,wood s3 cabinet ant white finish,5,7.95,39.75,0,1,3,10
2009-12-01,wooden box of dominoes,18,1.69,30.42,0,1,-1,10
2009-12-01,wooden frame antique white,38,2.95,112.1,0,1,3,10
2009-12-01,wooden picture frame white finish,30,2.55,76.5,0,1,3,10
2009-12-01,woodland charlotte bag,34,1.02,34.68,5,0,8,5
2009-12-01,world war 2 gliders asstd designs,48,0.21,10.08,11,1,9,11
2009-12-01,zinc metal heart decoration,66,1.47,97.02,7,1,12,8
2009-12-02,12 pencils small tube red spotty,87,0.74,64.38,3,0,7,7
2009-12-02,12 pencils tall tube posy,87,0.9500000000000001,82.65,9,0,-1,7
2009-12-02,12 pencils tall tube woodland,21,0.85,17.85,9,0,-1,7
2009-12-02,3 stripey mice feltcraft,19,1.9500000000000002,37.05,12,1,10,2
2009-12-02,6 ribbons rustic charm,7,3.43,24.01,0,2,6,4
2009-12-02,60 teatime fairy cake cases,159,0.72,114.48,1,3,2,9
2009-12-02,72 sweetheart fairy cake cases,229,0.67,153.43,1,3,2,9
2009-12-02,antique silver tea glass etched,122,1.79,218.38,0,1,-1,10
2009-12-02,assorted colour bird ornament,121,4.4,532.4,7,1,-1,8
2009-12-02,bag 500g swirly marbles,210,1.06,222.6,5,0,8,5
2009-12-02,baking set 9 piece retrospot,33,6.1,201.3,6,2,5,6
2009-12-02,bathroom metal sign,15,1.12,16.8,4,4,0,0
2009-12-02,beware of the cat metal sign,4,2.99,11.96,4,4,0,0
2009-12-02,blue happy birthday bunting,3,5.45,16.35,0,1,-1,10
2009-12-02,blue spotty cup,9,0.85,7.65,3,0,7,7
2009-12-02,box of 24 cocktail parasols,101,0.42,42.42,11,1,9,11
2009-12-02,ceramic cake bowl hanging cakes,22,11.55,254.1,7,1,12,8
2009-12-02,ceramic cake design spotted mug,2,2.46,4.92,6,2,5,6
2009-12-02,charlotte bag pinkwhite spots,49,1.09,53.41,5,0,8,5
2009-12-02,charlotte bag suki design,64,1.13,72.32,5,0,8,5
2009-12-02,chocolate this way metal sign,3,4.3,12.9,4,4,0,0
2009-12-02,colour glass tlight holder hanging,40,0.65,26.0,7,1,12,8
2009-12-02,cook with wine metal sign,10,2.89,28.9,4,4,0,0
2009-12-02,cream cupid hearts coat hanger,4,3.25,13.0,7,1,12,8
2009-12-02,cream heart card holder,135,5.13,692.55,2,1,11,2
2009-12-02,door mat 3 smiley cats,3,6.75,20.25,10,5,1,3
2009-12-02,door mat fairy cake,2,10.31,20.62,10,5,1,3
2009-12-02,door mat new england,13,6.48,84.24,10,5,1,3
2009-12-02,doormat hearts,2,6.75,13.5,10,5,1,3
2009-12-02,edwardian parasol black,250,5.61,1402.5,11,1,9,11
2009-12-02,edwardian parasol natural,9,5.95,53.55,11,1,9,11
2009-12-02,fairy cake notebook a5 size,10,1.02,10.2,1,3,2,9
2009-12-02,fancy font birthday card,25,0.42,10.5,11,1,-1,11
2009-12-02,feltcraft 6 flower friends,281,2.83,795.23,12,1,10,2
2009-12-02,feltcraft butterfly hearts,71,1.99,141.29,12,1,10,2
2009-12-02,feltcraft doll rosie,126,3.69,464.94,12,1,10,2
2009-12-02,four hook white lovebirds,22,2.1,46.2,7,1,-1,8
2009-12-02,gin tonic diet metal sign,7,3.2,22.4,4,4,0,0
2009-12-02,grand chocolatecandle,46,2.89,132.94,4,4,0,0
2009-12-02,grey floral feltcraft shoulder bag,23,5.36,123.28,12,1,10,2
2009-12-02,hanging heart zinc tlight holder,240,2.42,580.8,7,1,12,8
2009-12-02,hanging jam jar tlight holder,29,2.37,68.73,7,1,12,8
2009-12-02,heart filigree dove small,365,1.4100000000000001,514.65,2,1,-1,2
2009-12-02,heart ivory trellis small,26,1.25,32.5,2,1,11,2
2009-12-02,home sweet home metal sign,9,2.95,26.55,4,4,0,0
2009-12-02,hot baths metal sign,2,2.1,4.2,4,4,0,0
2009-12-02,hot water bottle tea and sympathy,92,4.55,418.6,12,1,-1,2
2009-12-02,i can only please one person mug,6,2.7,16.2,6,2,5,6
2009-12-02,ivory hanging decoration heart,8,0.85,6.8,7,1,12,8
2009-12-02,jumbo bag baroque black white,30,2.89,86.7,5,0,8,5
2009-12-02,jumbo bag pink vintage paisley,15,2.34,35.1,5,0,8,5
2009-12-02,jumbo bag scandinavian paisley,7,2.73,19.11,5,0,8,5
2009-12-02,jumbo bag strawberry,114,1.8900000000000001,215.46,5,0,8,5
2009-12-02,jumbo bag toys,32,2.47,79.04,5,0,8,5
2009-12-02,jumbo storage bag skulls,187,2.33,435.71,5,0,8,5
2009-12-02,key fob shed,2,1.7000000000000002,3.4,4,4,0,0
2009-12-02,ladies gentlemen metal sign,16,3.2,51.2,4,4,0,0
2009-12-02,large heart measuring spoons,127,1.67,212.09,2,1,11,2
2009-12-02,love building block word,104,7.12,740.48,2,1,11,8
2009-12-02,lovebird hanging decoration white,12,0.85,10.2,7,1,12,8
2009-12-02,lunch bag black skull,77,2.5,192.5,8,0,8,1
2009-12-02,lunch bag cars blue,6,2.18,13.08,8,0,8,1
2009-12-02,lunch bag red spotty,12,2.41,28.92,3,0,8,7
2009-12-02,lunch bag woodland,25,2.31,57.75,8,0,8,1
2009-12-02,lunchbox with cutlery retrospot,7,3.86,27.02,6,2,5,6
2009-12-02,mini cake stand hanging strawbery,7,3.63,25.41,7,1,12,8
2009-12-02,no singing metal sign,3,3.5700000000000003,10.71,4,4,0,0
2009-12-02,pack 20 english rose paper napkins,28,0.85,23.8,9,2,6,4
2009-12-02,pack of 12 hearts design tissues,6,0.29,1.74,1,3,2,9
2009-12-02,pack of 60 dinosaur cake cases,173,0.63,108.99,1,3,2,9
2009-12-02,pack of 60 mushroom cake cases,4,0.92,3.68,1,3,2,9
2009-12-02,pack of 60 pink paisley cake cases,175,0.65,113.75,1,3,2,9
2009-12-02,pack of 72 retro spot cake cases,599,0.61,365.39,1,3,2,9
2009-12-02,pack of 72 skull cake cases,55,0.92,50.6,1,3,2,9
2009-12-02,paper bunting retro spots,2,6.04,12.08,0,2,6,4
2009-12-02,paper chain kit retro spot,131,3.33,436.23,0,2,6,4
2009-12-02,party bunting,9,5.98,53.82,0,1,-1,10
2009-12-02,party metal sign,13,1.45,18.85,4,4,0,0
2009-12-02,pink 3 piece mini dots cutlery set,70,4.37,305.9,9,2,6,4
2009-12-02,pink blue felt craft trinket box,310,1.72,533.2,12,1,10,2
2009-12-02,pink doughnut trinket pot,74,2.21,163.54,2,1,11,2
2009-12-02,pink fairy cake childs apron,175,1.8900000000000001,330.75,1,3,2,9
2009-12-02,pottering in the shed metal sign,7,3.12,21.84,4,4,0,0
2009-12-02,potting shed tea mug,5,2.7,13.5,6,2,5,6
2009-12-02,red gingham rose jewellery box,45,1.9,85.5,2,1,-1,2
2009-12-02,red spot ceramic drawer knob,80,1.55,124.0,6,2,5,6
2009-12-02,red spotty biscuit tin,9,4.97,44.73,3,0,7,7
2009-12-02,red spotty bowl,100,2.22,222.0,3,0,7,7
2009-12-02,red spotty charlotte bag,61,1.06,64.66,5,0,8,5
2009-12-02,red spotty oven glove double,35,2.36,82.6,3,0,7,7
2009-12-02,red spotty round cake tins,66,10.92,720.72,3,0,7,7
2009-12-02,red spotty shopper bag,25,1.85,46.25,3,0,8,7
2009-12-02,red toadstool led night light,3,3.43,10.29,7,1,-1,8
2009-12-02,retro spot cake stand,22,13.1,288.2,6,2,5,6
2009-12-02,retro spot large milk jug,6,4.95,29.7,6,2,5,6
2009-12-02,retro spot small milk jug,20,3.07,61.4,6,2,5,6
2009-12-02,retro spot storage jar,10,3.75,37.5,6,2,5,6
2009-12-02,retro spot sugar jam bowl,64,3.35,214.4,6,2,5,6
2009-12-02,retro spot tea set ceramic 11 pc,47,6.53,306.91,6,2,5,6
2009-12-02,retro spot traditional teapot,32,9.73,311.36,6,2,5,6
2009-12-02,retro spots butter dish,9,7.13,64.17,6,2,5,6
2009-12-02,rex cashcarry jumbo shopper,22,0.9500000000000001,20.9,5,0,8,5
2009-12-02,ribbon reel spots design,145,2.05,297.25,0,2,6,4
2009-12-02,scottie dog hot water bottle,97,6.15,596.55,12,1,-1,2
2009-12-02,set 12 retro white chalk sticks,11,0.42,4.62,0,2,-1,4
2009-12-02,set of 3 heart cookie cutters,4,2.5700000000000003,10.28,2,1,11,2
2009-12-02,set of 36 paisley flower doilies,3,3.04,9.12,9,2,6,4
2009-12-02,set of 36 teatime paper doilies,88,1.45,127.6,9,2,6,4
2009-12-02,set of 72 pink heart paper doilies,3,1.45,4.35,9,2,6,4
2009-12-02,set of 72 retro spot paper doilies,54,1.6800000000000002,90.72,9,2,6,4
2009-12-02,set10 pink spotty party candles,5,1.25,6.25,3,0,7,7
2009-12-02,set2 red spotty tea towels,18,3.34,60.12,3,0,7,7
2009-12-02,set20 red spotty paper napkins,100,0.9400000000000001,94.0,3,0,7,7
2009-12-02,set5 red spotty lid glass bowls,100,3.52,352.0,3,0,7,7
2009-12-02,set6 purple butterfly tlights,25,2.1,52.5,7,1,12,8
2009-12-02,set6 red spotty paper cups,174,0.72,125.28,3,0,7,7
2009-12-02,skull shoulder bag,49,2.44,119.56,8,0,8,1
2009-12-02,skulls water transfer tattoos,205,1.32,270.6,8,0,4,1
2009-12-02,small glass heart trinket pot,1,4.3,4.3,2,1,11,2
2009-12-02,space boy birthday card,12,0.42,5.04,11,1,-1,11
2009-12-02,strawberry ceramic trinket box,195,1.5,292.5,2,1,-1,2
2009-12-02,strawberry charlotte bag,30,1.06,31.8,5,0,8,5
2009-12-02,strawberry lunchbox with cutlery,4,3.86,15.44,9,2,6,4
2009-12-02,swallows greeting card,60,0.42,25.2,11,1,9,11
2009-12-02,sweetheart ceramic trinket box,209,1.48,309.32,2,1,11,2
2009-12-02,tea bag plate red spotty,36,1.13,40.68,3,0,7,7
2009-12-02,tea party birthday card,12,0.42,5.04,11,1,9,11
2009-12-02,tea time tea towels,5,2.95,14.75,9,0,-1,4
2009-12-02,victorian glass hanging tlight,38,1.58,60.04,7,1,12,8
2009-12-02,victorian sewing box large,22,11.22,246.84,2,1,-1,11
2009-12-02,vintage heads and tails card game,96,1.74,167.04,11,1,9,11
2009-12-02,vintage snap cards,66,1.27,83.82,11,1,-1,11
2009-12-02,vintage union jack bunting,9,8.5,76.5,11,1,-1,11
2009-12-02,vintage union jack cushion cover,47,6.06,284.82,11,1,9,11
2009-12-02,weekend bag vintage rose paisley,18,5.95,107.1,5,0,8,5
2009-12-02,white hanging heart tlight holder,750,3.03,2272.5,7,1,12,8
2009-12-02,white spot red ceramic drawer knob,51,1.58,80.58,6,2,5,6
2009-12-02,wood 2 drawer cabinet white finish,5,5.95,29.75,0,1,3,10
2009-12-02,wood s3 cabinet ant white finish,10,7.95,79.5,0,1,3,10
2009-12-02,wooden box of dominoes,59,1.69,99.71,0,1,-1,10
2009-12-02,wooden frame antique white,40,3.69,147.6,0,1,3,10
2009-12-02,wooden picture frame white finish,83,2.4,199.2,0,1,3,10
2009-12-02,woodland charlotte bag,20,1.7000000000000002,34.0,5,0,8,5
2009-12-02,world war 2 gliders asstd designs,435,0.2,87.0,11,1,9,11
2009-12-02,zinc metal heart decoration,254,1.74,441.96,7,1,12,8
2009-12-03,12 pencils small tube red spotty,34,0.76,25.84,3,0,7,7
2009-12-03,12 pencils tall tube posy,116,0.9,104.4,9,0,-1,7
2009-12-03,12 pencils tall tube woodland,13,1.27,16.51,9,0,-1,7
2009-12-03,3 stripey mice feltcraft,101,2.36,238.36,12,1,10,2
2009-12-03,6 ribbons rustic charm,3,3.43,10.29,0,2,6,4
2009-12-03,60 teatime fairy cake cases,201,0.63,126.63,1,3,2,9
2009-12-03,72 sweetheart fairy cake cases,83,0.68,56.44,1,3,2,9
2009-12-03,antique silver tea glass etched,158,1.38,218.04,0,1,-1,10
2009-12-03,assorted colour bird ornament,312,1.67,521.04,7,1,-1,8
2009-12-03,bag 500g swirly marbles,6,1.13,6.78,5,0,8,5
2009-12-03,baking set 9 piece retrospot,31,5.52,171.12,6,2,5,6
2009-12-03,bathroom metal sign,23,1.56,35.88,4,4,0,0
2009-12-03,beware of the cat metal sign,21,2.34,49.14,4,4,0,0
2009-12-03,blue happy birthday bunting,3,5.45,16.35,0,1,-1,10
2009-12-03,blue spotty cup,2,0.85,1.7000000000000002,3,0,7,7
2009-12-03,ceramic cake bowl hanging cakes,6,10.16,60.96,7,1,12,8
2009-12-03,ceramic cake design spotted mug,83,1.92,159.36,6,2,5,6
2009-12-03,charlotte bag pinkwhite spots,35,1.06,37.1,5,0,8,5
2009-12-03,charlotte bag suki design,58,0.99,57.42,5,0,8,5
2009-12-03,chocolate this way metal sign,20,2.65,53.0,4,4,0,0
2009-12-03,colour glass tlight holder hanging,17,2.91,49.47,7,1,12,8
2009-12-03,cook with wine metal sign,22,2.54,55.88,4,4,0,0
2009-12-03,cream cupid hearts coat hanger,19,4.16,79.04,7,1,12,8
2009-12-03,cream heart card holder,36,4.62,166.32,2,1,11,2
2009-12-03,door mat 3 smiley cats,8,9.12,72.96,10,5,1,3
2009-12-03,door mat fairy cake,16,6.64,106.24,10,5,1,3
2009-12-03,door mat new england,24,7.54,180.96,10,5,1,3
2009-12-03,doormat hearts,2,6.75,13.5,10,5,1,3
2009-12-03,edwardian parasol black,630,5.21,3282.3,11,1,9,11
2009-12-03,edwardian parasol natural,618,5.21,3219.78,11,1,9,11
2009-12-03,fairy cake notebook a5 size,20,0.9,18.0,1,3,2,9
2009-12-03,fancy font birthday card,18,0.42,7.5600000000000005,11,1,-1,11
2009-12-03,feltcraft 6 flower friends,17,2.65,45.05,12,1,10,2
2009-12-03,feltcraft butterfly hearts,92,1.35,124.2,12,1,10,2
2009-12-03,feltcraft doll rosie,46,3.83,176.18,12,1,10,2
2009-12-03,four hook white lovebirds,18,2.1,37.8,7,1,-1,8
2009-12-03,gin tonic diet metal sign,55,2.38,130.9,4,4,0,0
2009-12-03,grand chocolatecandle,54,1.45,78.3,4,4,0,0
2009-12-03,grey floral feltcraft shoulder bag,42,4.33,181.86,12,1,10,2
2009-12-03,hand over the chocolate sign,64,2.02,129.28,4,4,0,0
2009-12-03,hanging heart zinc tlight holder,168,1.94,325.92,7,1,12,8
2009-12-03,hanging jam jar tlight holder,3,6.91,20.73,7,1,12,8
2009-12-03,heart filigree dove small,58,1.51,87.58,2,1,-1,2
2009-12-03,heart ivory trellis small,58,1.51,87.58,2,1,11,2
2009-12-03,home sweet home metal sign,6,2.95,17.7,4,4,0,0
2009-12-03,hot baths metal sign,37,2.1,77.7,4,4,0,0
2009-12-03,hot water bottle tea and sympathy,92,4.26,391.92,12,1,-1,2
2009-12-03,i can only please one person mug,5,1.25,6.25,6,2,5,6
2009-12-03,ivory hanging decoration heart,96,0.85,81.6,7,1,12,8
2009-12-03,jumbo bag baroque black white,42,2.42,101.64,5,0,8,5
2009-12-03,jumbo bag pink vintage paisley,40,1.9500000000000002,78.0,5,0,8,5
2009-12-03,jumbo bag scandinavian paisley,33,1.9500000000000002,64.35,5,0,8,5
2009-12-03,jumbo bag strawberry,26,2.54,66.04,5,0,8,5
2009-12-03,jumbo bag toys,43,2.24,96.32,5,0,8,5
2009-12-03,jumbo storage bag skulls,67,2.16,144.72,5,0,8,5
2009-12-03,key fob shed,107,0.86,92.02,4,4,0,0
2009-12-03,ladies gentlemen metal sign,32,3.2,102.4,4,4,0,0
2009-12-03,large heart measuring spoons,62,1.43,88.66,2,1,11,2
2009-12-03,love building block word,48,6.77,324.96,2,1,11,8
2009-12-03,lovebird hanging decoration white,30,1.06,31.8,7,1,12,8
2009-12-03,lunch bag black skull,32,1.65,52.8,8,0,8,1
2009-12-03,lunch bag cars blue,41,1.65,67.65,8,0,8,1
2009-12-03,lunch bag red spotty,31,2.09,64.79,3,0,8,7
2009-12-03,lunch bag woodland,17,1.65,28.05,8,0,8,1
2009-12-03,lunchbox with cutlery retrospot,17,3.07,52.19,6,2,5,6
2009-12-03,mini cake stand hanging strawbery,40,5.21,208.4,7,1,12,8
2009-12-03,no singing metal sign,58,2.46,142.68,4,4,0,0
2009-12-03,pack 20 english rose paper napkins,21,1.13,23.73,9,2,6,4
2009-12-03,pack of 12 hearts design tissues,62,0.4,24.8,1,3,2,9
2009-12-03,pack of 60 dinosaur cake cases,36,0.55,19.8,1,3,2,9
2009-12-03,pack of 60 mushroom cake cases,3,1.3,3.9,1,3,2,9
2009-12-03,pack of 60 pink paisley cake cases,123,0.68,83.64,1,3,2,9
2009-12-03,pack of 72 retro spot cake cases,190,0.62,117.8,1,3,2,9
2009-12-03,pack of 72 skull cake cases,59,0.68,40.12,1,3,2,9
2009-12-03,paper bunting retro spots,48,2.8200000000000003,135.36,0,2,6,4
2009-12-03,paper chain kit retro spot,58,3.39,196.62,0,2,6,4
2009-12-03,party metal sign,18,1.45,26.1,4,4,0,0
2009-12-03,pink 3 piece mini dots cutlery set,61,4.2,256.2,9,2,6,4
2009-12-03,pink blue felt craft trinket box,704,1.6,1126.4,12,1,10,2
2009-12-03,pink doughnut trinket pot,19,2.54,48.26,2,1,11,2
2009-12-03,pink fairy cake childs apron,34,1.9500000000000002,66.3,1,3,2,9
2009-12-03,pottering in the shed metal sign,43,2.54,109.22,4,4,0,0
2009-12-03,potting shed tea mug,58,1.6099999999999999,93.38,6,2,5,6
2009-12-03,red gingham rose jewellery box,25,1.9500000000000002,48.75,2,1,-1,2
2009-12-03,red spot ceramic drawer knob,126,1.38,173.88,6,2,5,6
